mc1	mc2
140	130
140	136
140	137
140	140
141	116
141	133
141	134
141	135
141	138
141	141
141	142
142	131
142	133
142	139
142	141
142	142
142	143
143	131
143	132
143	133
143	135
143	142
143	143
144	144
144	145
144	146
144	171
144	205
144	225
145	144
145	145
145	146
145	149
145	172
145	219
146	144
146	145
146	146
146	149
146	150
146	186
146	206
147	147
147	150
147	166
147	167
147	171
147	172
147	182
148	148
148	150
148	165
148	168
148	173
148	178
149	145
149	146
149	149
149	164
149	219
150	146
150	147
150	148
150	150
150	178
150	195
151	151
151	152
151	160
151	201
151	218
152	151
152	152
152	158
152	170
152	173
152	181
152	210
153	153
153	159
153	173
153	203
153	205
154	154
154	156
154	159
154	173
154	199
154	234
155	155
155	159
155	177
155	181
155	213
156	154
156	156
156	158
157	157
157	160
157	183
157	184
157	203
157	208
158	152
158	156
158	158
158	181
158	224
159	153
159	154
159	155
159	159
159	180
159	202
159	210
159	212
160	151
160	157
160	160
161	161
161	162
161	200
161	217
161	221
162	161
162	162
162	168
162	176
162	180
163	163
163	165
163	224
163	228
163	229
164	149
164	164
164	178
164	185
164	211
164	213
165	148
165	163
165	165
165	168
165	172
165	218
166	147
166	166
166	168
166	169
166	176
166	179
166	196
166	207
166	209
167	37
167	147
167	167
167	168
167	184
167	185
167	199
167	213
167	214
168	148
168	162
168	165
168	166
168	167
168	168
168	171
168	185
169	166
169	169
169	170
169	171
169	173
169	174
169	175
169	177
170	152
170	169
170	170
170	173
170	198
171	144
171	147
171	168
171	169
171	171
171	172
171	182
172	145
172	147
172	165
172	171
172	172
172	183
172	206
173	148
173	152
173	153
173	154
173	169
173	170
173	173
174	169
174	174
174	182
174	201
174	209
174	215
174	219
175	6
175	169
175	175
175	207
176	29
176	39
176	162
176	166
176	176
176	177
177	2
177	155
177	169
177	176
177	177
177	180
178	148
178	150
178	164
178	178
178	179
178	182
179	166
179	178
179	179
179	185
179	223
180	3
180	159
180	162
180	177
180	180
180	184
180	185
181	3
181	152
181	155
181	158
181	181
181	184
182	147
182	171
182	174
182	178
182	182
182	185
183	157
183	172
183	183
183	184
183	208
184	157
184	167
184	180
184	181
184	183
184	184
185	164
185	167
185	168
185	179
185	180
185	182
185	185
186	146
186	186
186	187
186	188
186	219
186	227
187	128
187	137
187	186
187	187
187	188
187	230
188	128
188	186
188	187
188	188
188	219
189	189
189	190
189	193
189	194
189	238
190	189
190	190
190	221
190	222
190	224
190	230
191	191
191	192
191	226
191	227
191	231
192	134
192	138
192	191
192	192
192	212
192	227
193	189
193	193
193	208
193	223
194	189
194	194
194	224
194	229
194	233
195	150
195	195
195	215
195	223
196	166
196	196
196	228
196	238
197	197
197	231
197	236
198	170
198	198
198	212
199	154
199	167
199	199
199	201
199	215
200	161
200	200
200	201
200	202
200	208
200	211
200	229
200	235
201	151
201	174
201	199
201	200
201	201
201	213
201	234
202	159
202	200
202	202
202	208
202	236
202	240
203	153
203	157
203	203
203	210
203	236
204	204
204	210
204	233
204	239
205	144
205	153
205	205
206	146
206	172
206	206
206	207
206	216
206	218
207	166
207	175
207	206
207	207
207	214
208	157
208	183
208	193
208	200
208	202
208	208
208	225
208	232
209	166
209	174
209	209
209	210
209	211
209	217
210	152
210	159
210	203
210	204
210	209
210	210
210	234
211	164
211	200
211	209
211	211
211	212
211	231
211	234
212	159
212	192
212	198
212	211
212	212
212	237
213	155
213	164
213	167
213	201
213	213
214	167
214	207
214	214
214	220
215	174
215	195
215	199
215	215
215	232
216	206
216	216
216	220
216	222
216	226
216	229
217	161
217	209
217	217
217	225
218	151
218	165
218	206
218	218
218	227
219	145
219	149
219	174
219	186
219	188
219	219
220	214
220	216
220	220
220	224
221	161
221	190
221	221
221	222
222	117
222	190
222	216
222	221
222	222
222	232
223	179
223	193
223	195
223	223
223	226
223	228
223	238
223	239
224	158
224	163
224	190
224	194
224	220
224	224
224	229
224	238
224	239
225	144
225	208
225	217
225	225
225	232
225	233
225	237
226	191
226	216
226	223
226	226
226	240
227	117
227	186
227	191
227	192
227	218
227	227
227	235
228	163
228	196
228	223
228	228
228	237
229	163
229	194
229	200
229	216
229	224
229	229
229	231
230	187
230	190
230	230
231	191
231	197
231	211
231	229
231	231
232	208
232	215
232	222
232	225
232	232
232	233
233	194
233	204
233	225
233	232
233	233
233	236
233	237
233	239
234	154
234	201
234	210
234	211
234	234
234	237
235	200
235	227
235	235
235	239
236	197
236	202
236	203
236	233
236	236
237	212
237	225
237	228
237	233
237	234
237	237
238	189
238	196
238	223
238	224
238	238
238	239
239	204
239	223
239	224
239	233
239	235
239	238
239	239
239	240
240	202
240	226
240	239
240	240
