	x
HOOK2	1
JUNB	1
IER2	1
DNAJB1	1
UCA1	1
JUND	1
GDF15	1
NDUFA13	1
FXYD3	1
C19orf33	1
MED29	1
ZFP36	1
FCGBP	1
CEACAM6	1
FOSB	1
SELENOW	1
PPP1R15A	1
NUCB1	1
MYH14	1
SPIB	1
MIF	1
SLC5A1	1
HMOX1	1
LGALS2	1
H1F0	1
TMPRSS15	1
MRPS6	1
SLC5A3	1
CBR1	1
TFF3	1
TFF2	1
TFF1	1
