mc1	mc2
120	120
120	121
120	125
120	127
120	131
120	134
121	120
121	121
121	126
121	128
121	129
121	138
121	143
121	145
122	118
122	122
122	125
122	126
122	132
122	134
122	135
123	123
123	125
123	131
123	133
123	135
123	140
123	141
123	144
124	115
124	117
124	124
124	125
124	127
124	130
124	138
124	145
125	120
125	122
125	123
125	124
125	125
125	129
125	142
125	143
126	118
126	121
126	122
126	126
126	127
126	133
126	134
126	136
127	120
127	124
127	126
127	127
127	128
127	131
127	136
128	119
128	121
128	127
128	128
128	129
128	131
128	133
129	121
129	125
129	128
129	129
129	130
129	132
129	141
129	143
129	144
130	116
130	119
130	124
130	129
130	130
130	131
130	135
131	118
131	119
131	120
131	123
131	127
131	128
131	130
131	131
132	122
132	129
132	132
132	138
133	123
133	126
133	128
133	133
133	134
133	145
134	120
134	122
134	126
134	133
134	134
134	139
134	140
134	141
135	122
135	123
135	130
135	135
135	145
136	116
136	117
136	126
136	127
136	136
136	138
137	115
137	117
137	119
137	137
137	139
137	142
137	145
138	121
138	124
138	132
138	136
138	138
138	143
139	116
139	118
139	134
139	137
139	139
139	141
139	143
139	144
140	116
140	118
140	123
140	134
140	140
140	142
141	117
141	123
141	129
141	134
141	139
141	141
141	142
142	117
142	119
142	125
142	137
142	140
142	141
142	142
142	144
143	121
143	125
143	129
143	138
143	139
143	143
144	116
144	119
144	123
144	129
144	139
144	142
144	144
145	115
145	121
145	124
145	133
145	135
145	137
145	145
146	146
146	147
146	148
146	156
146	158
146	163
146	180
146	187
146	188
147	146
147	147
147	148
147	149
147	151
147	155
147	158
147	186
147	189
148	146
148	147
148	148
148	149
148	158
149	147
149	148
149	149
149	150
149	154
149	167
149	170
149	187
150	149
150	150
150	153
150	154
150	156
150	170
151	147
151	151
151	153
151	155
151	157
151	159
151	169
151	171
152	152
152	158
152	161
152	168
152	169
153	150
153	151
153	153
153	159
153	168
153	170
153	171
154	149
154	150
154	154
154	156
154	157
154	159
154	170
155	147
155	151
155	155
155	156
155	157
155	188
155	189
155	190
156	146
156	150
156	154
156	155
156	156
156	157
156	169
156	188
157	151
157	154
157	155
157	156
157	157
157	159
157	170
158	146
158	147
158	148
158	152
158	158
158	183
158	190
159	151
159	153
159	154
159	157
159	159
159	190
159	191
159	192
160	160
160	163
160	164
160	168
160	172
160	173
160	174
160	176
161	152
161	161
161	165
161	166
161	168
161	169
161	175
162	162
162	165
162	166
162	167
162	168
162	170
162	171
162	174
162	178
163	146
163	160
163	163
163	164
163	171
163	173
163	187
164	160
164	163
164	164
164	173
164	175
164	176
164	178
165	161
165	162
165	165
165	166
165	167
165	171
165	176
166	161
166	162
166	165
166	166
166	167
166	168
166	172
167	149
167	162
167	165
167	166
167	167
167	172
168	152
168	153
168	160
168	161
168	162
168	166
168	168
168	175
169	151
169	152
169	156
169	161
169	169
169	170
170	149
170	150
170	153
170	154
170	157
170	162
170	169
170	170
171	151
171	153
171	162
171	163
171	165
171	171
172	160
172	166
172	167
172	172
172	173
172	176
173	160
173	163
173	164
173	172
173	173
173	174
173	178
174	111
174	160
174	162
174	173
174	174
174	177
175	161
175	164
175	168
175	175
175	176
175	177
176	113
176	160
176	164
176	165
176	172
176	175
176	176
176	177
177	106
177	109
177	113
177	114
177	174
177	175
177	176
177	177
178	109
178	114
178	162
178	164
178	173
178	178
179	179
179	180
179	193
179	205
179	225
179	263
180	146
180	179
180	180
180	181
180	182
180	187
180	193
180	225
181	180
181	181
181	182
181	184
181	185
181	186
181	187
182	180
182	181
182	182
182	184
182	185
182	186
182	187
183	158
183	183
183	184
183	188
183	190
183	191
183	273
184	181
184	182
184	183
184	184
184	185
184	186
184	188
184	189
185	181
185	182
185	184
185	185
185	186
186	147
186	181
186	182
186	184
186	185
186	186
187	146
187	149
187	163
187	180
187	181
187	182
187	187
187	196
188	146
188	155
188	156
188	183
188	184
188	188
188	189
188	190
189	147
189	155
189	184
189	188
189	189
189	190
190	155
190	158
190	159
190	183
190	188
190	189
190	190
191	159
191	183
191	191
191	192
191	271
191	272
191	273
191	279
192	159
192	191
192	192
192	270
192	271
192	272
192	279
193	179
193	180
193	193
193	194
193	263
193	267
194	193
194	194
194	263
194	266
194	268
194	272
195	195
195	196
195	197
195	198
195	200
195	249
195	251
196	187
196	195
196	196
196	197
196	199
196	200
196	201
197	195
197	196
197	197
197	199
197	200
197	207
198	195
198	198
198	202
198	207
198	208
198	249
199	196
199	197
199	199
199	200
199	201
199	204
199	208
200	195
200	196
200	197
200	199
200	200
200	201
201	196
201	199
201	200
201	201
201	203
201	204
201	256
202	198
202	202
202	206
202	207
202	208
202	250
203	201
203	203
203	204
203	256
203	257
203	258
203	259
204	199
204	201
204	203
204	204
204	256
204	257
204	258
204	259
205	89
205	101
205	179
205	205
205	225
205	229
205	260
206	202
206	206
206	207
206	208
206	229
206	230
207	197
207	198
207	202
207	206
207	207
207	208
208	198
208	199
208	202
208	206
208	207
208	208
209	209
209	210
209	213
209	216
209	220
209	227
209	228
210	209
210	210
210	211
210	212
210	213
210	215
210	222
210	223
210	227
211	210
211	211
211	212
211	213
211	215
211	217
211	218
211	228
212	210
212	211
212	212
212	213
212	214
212	223
212	227
212	228
213	209
213	210
213	211
213	212
213	213
213	227
213	228
214	212
214	214
214	215
214	218
214	219
214	222
214	223
214	226
215	210
215	211
215	214
215	215
215	221
215	222
215	224
216	209
216	216
216	220
216	222
216	223
217	211
217	217
217	218
217	227
217	233
218	211
218	214
218	217
218	218
218	225
218	226
218	228
219	214
219	219
219	222
219	224
219	226
219	229
219	232
219	234
220	209
220	216
220	220
220	221
220	223
220	224
220	233
221	215
221	220
221	221
221	222
221	223
221	224
221	231
221	233
221	234
222	210
222	214
222	215
222	216
222	219
222	221
222	222
222	223
222	233
223	210
223	212
223	214
223	216
223	220
223	221
223	222
223	223
223	224
224	215
224	219
224	220
224	221
224	223
224	224
224	231
224	234
225	179
225	180
225	205
225	218
225	225
225	226
225	228
226	214
226	218
226	219
226	225
226	226
227	209
227	210
227	212
227	213
227	217
227	227
227	228
228	209
228	211
228	212
228	213
228	218
228	225
228	227
228	228
229	205
229	206
229	219
229	229
229	230
229	232
229	235
230	206
230	229
230	230
230	231
230	232
230	234
230	235
230	239
231	221
231	224
231	230
231	231
231	232
231	233
231	234
232	219
232	229
232	230
232	231
232	232
232	233
232	234
233	217
233	220
233	221
233	222
233	231
233	232
233	233
233	234
234	219
234	221
234	224
234	230
234	231
234	232
234	233
234	234
234	239
235	103
235	229
235	230
235	235
